_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
278410,2022-01-01,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1102.0,CONC Men's Shelter Bloor St W,850 Bloor St W,M6G 1M2,Toronto,ON,13611,Christie Ossington Men's Hostel South,Men,Emergency,Shelter,Base Shelter and Overnight Services System,14,Bed Based Capacity,15.0,15.0,14.0,1.0,0.0,,,,,,93.33,
278411,2022-01-01,23,"Christie Refugee Welcome Centre, Inc.",39,Christie Refugee Welcome Centre,1052.0,Christie Refugee Welcome Centre,43 Christie St,M6G 3B1,Toronto,ON,12233,Christie Refugee Welcome Centre - Settlement and Support,Families,Emergency,Shelter,Base Shelter and Overnight Services System,57,Room Based Capacity,,,,,,21.0,30.0,21.0,0.0,9.0,,100.0
278412,2022-01-01,1,City of Toronto,53,Birkdale Residence,1070.0,SSHA Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,Toronto,ON,12351,Birkdale Residence - Bedded Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,214,Room Based Capacity,,,,,,63.0,65.0,63.0,0.0,2.0,,100.0
278413,2022-01-01,1,City of Toronto,53,Birkdale Residence,1103.0,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16311,SSHA North York West Hotel Program - Couples,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,28,Room Based Capacity,,,,,,14.0,14.0,14.0,0.0,0.0,,100.0
278414,2022-01-01,1,City of Toronto,53,Birkdale Residence,1103.0,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16271,SSHA North York West Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,74,Room Based Capacity,,,,,,75.0,77.0,74.0,1.0,2.0,,98.67
278415,2022-01-01,1,City of Toronto,60,Downsview Dells,1009.0,SSHA Downsview Dells,1651 Sheppard Ave W,M3M 2X4,Toronto,ON,11815,Downsview Dells Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,12,Bed Based Capacity,12.0,12.0,12.0,0.0,0.0,,,,,,100.0,
278416,2022-01-01,1,City of Toronto,83,Expansion  Sites,1181.0,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,M4P 2L2,Toronto,ON,15991,Roehampton Residence,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,122,Room Based Capacity,,,,,,66.0,86.0,66.0,0.0,20.0,,100.0
278417,2022-01-01,1,City of Toronto,83,Expansion  Sites,1194.0,Scarborough Women's Shelter - Milner,20 Milner Business Ct,M1B 3M6,Scarborough,ON,16471,Scarborough Women's Shelter - Milner,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,100,Room Based Capacity,,,,,,100.0,100.0,100.0,0.0,0.0,,100.0
278418,2022-01-01,1,City of Toronto,2,Family Residence,1065.0,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,12311,Family Residence - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,150,Room Based Capacity,,,,,,43.0,43.0,43.0,0.0,0.0,,100.0
278419,2022-01-01,1,City of Toronto,2,Family Residence,1065.0,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,16232,Family Residence - Main Site - Winter Program,Families,Emergency,Shelter,COVID-19 Response,2,Bed Based Capacity,2.0,20.0,2.0,0.0,18.0,,,,,,100.0,
278420,2022-01-01,1,City of Toronto,2,Family Residence,1066.0,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,12392,SSHA Scarborough Hotel 3 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,113,Room Based Capacity,,,,,,40.0,63.0,40.0,0.0,23.0,,100.0
278421,2022-01-01,1,City of Toronto,2,Family Residence,1066.0,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,16231,SSHA Scarborough Hotel 3 - Mixed Adult Winter Program,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,6,Room Based Capacity,,,,,,6.0,10.0,6.0,0.0,4.0,,100.0
278422,2022-01-01,1,City of Toronto,2,Family Residence,1067.0,SSHA Scarborough Hotel Program 4,4540 Kingston Rd,M1E 2N8,Toronto,ON,12391,SSHA Scarborough Hotel 4 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,45,Room Based Capacity,,,,,,20.0,20.0,20.0,0.0,0.0,,100.0
278423,2022-01-01,1,City of Toronto,62,Fort York Residence,1011.0,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,11831,Fort York Residence Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,33,Bed Based Capacity,35.0,37.0,33.0,2.0,2.0,,,,,,94.29,
278424,2022-01-01,1,City of Toronto,62,Fort York Residence,1123.0,SSHA North Hotel Program,3600 Steeles Ave W,L4L 8P5,Vaughan,ON,14051,Fort York Residence North Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,63,Room Based Capacity,,,,,,67.0,51.0,59.0,8.0,0.0,,88.06
278425,2022-01-01,1,City of Toronto,62,Fort York Residence,1011.0,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,12711,Fort York SRO Units Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,23,Bed Based Capacity,24.0,24.0,23.0,1.0,0.0,,,,,,95.83,
278426,2022-01-01,1,City of Toronto,54,Robertson House,1069.0,Robertson House,291 Sherbourne St,M5A 2R9,Toronto,ON,12331,Robertson House - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,83,Room Based Capacity,,,,,,32.0,37.0,32.0,0.0,5.0,,100.0
278427,2022-01-01,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163.0,SSHA Etobicoke Hotel Program,,,,,16551,SSHA Etobicoke Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,68,Room Based Capacity,,,,,,71.0,82.0,61.0,10.0,11.0,,85.92
278428,2022-01-01,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163.0,SSHA Etobicoke Hotel Program,,,,,16058,SSHA Isolation Program,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response,13,Room Based Capacity,,,,,,26.0,30.0,13.0,13.0,4.0,,50.0
278429,2022-01-01,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163.0,SSHA Etobicoke Hotel Program,,,,,15391,SSHA Recovery Program,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response,48,Room Based Capacity,,,,,,53.0,30.0,41.0,12.0,0.0,,77.36
278430,2022-01-01,1,City of Toronto,59,Scarborough Village Residence,1155.0,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,M1E 2P4,Scarborough,ON,15673,SSHA Scarborough Hotel 1 - Mixed Adult Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,43,Room Based Capacity,,,,,,22.0,23.0,22.0,0.0,1.0,,100.0
278431,2022-01-01,1,City of Toronto,59,Scarborough Village Residence,1151.0,SSHA Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,Toronto,ON,14811,Scarborough Village Residence Main Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,75,Bed Based Capacity,78.0,80.0,75.0,3.0,2.0,,,,,,96.15,
278432,2022-01-01,1,City of Toronto,3,Seaton House,1154.0,SSHA Junction Place,731 Runnymede Rd,M6N 3V7,Toronto,ON,15171,Junction Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,47,Bed Based Capacity,47.0,50.0,47.0,0.0,3.0,,,,,,100.0,
278433,2022-01-01,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,11812,Seaton House - Annex Harm Reduction & Managed Alcohol Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,44,Bed Based Capacity,50.0,51.0,44.0,6.0,1.0,,,,,,88.0,
278434,2022-01-01,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,15051,Seaton House - Fourth Floor Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,71,Bed Based Capacity,75.0,81.0,71.0,4.0,6.0,,,,,,94.67,
278435,2022-01-01,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,11811,Seaton House - Hostel Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,54,Bed Based Capacity,56.0,72.0,54.0,2.0,16.0,,,,,,96.43,
278436,2022-01-01,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,15191,Seaton House - Infirmary Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,17,Bed Based Capacity,22.0,22.0,17.0,5.0,0.0,,,,,,77.27,
278437,2022-01-01,1,City of Toronto,3,Seaton House,1008.0,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,14371,Seaton House - O'Neill Harm Reduction Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,8,Bed Based Capacity,9.0,15.0,8.0,1.0,6.0,,,,,,88.89,
278438,2022-01-01,1,City of Toronto,3,Seaton House,1190.0,SSHA Downtown Response Program,76 Church St,M5C 2G1,Toronto,ON,15751,Seaton House Hostel Response Program,Men,Emergency,Shelter,COVID-19 Response,44,Bed Based Capacity,44.0,55.0,44.0,0.0,11.0,,,,,,100.0,
278439,2022-01-01,1,City of Toronto,6,Streets To Homes,1004.0,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,ON,12952,Streets to Homes Bedded Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,13,Bed Based Capacity,13.0,27.0,13.0,0.0,14.0,,,,,,100.0,
278440,2022-01-01,1,City of Toronto,4,Women's Residence,1124.0,SSHA Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,Toronto,ON,14631,SSHA Downtown Hotel Women's Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,66,Room Based Capacity,,,,,,65.0,71.0,60.0,5.0,6.0,,92.31
278441,2022-01-01,1,City of Toronto,4,Women's Residence,1005.0,SSHA Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,ON,12471,Women's Residence Extreme Weather Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,4,Bed Based Capacity,4.0,4.0,4.0,0.0,0.0,,,,,,100.0,
278442,2022-01-01,1,City of Toronto,4,Women's Residence,1005.0,SSHA Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,ON,11798,Womens' Residence - Main Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,70,Bed Based Capacity,73.0,74.0,70.0,3.0,1.0,,,,,,95.89,
278443,2022-01-01,13,Cornerstone Place,21,Cornerstone Place,1028.0,Cornerstone Place,616 Vaughan Rd,M6C 2R5,Toronto,ON,11971,Cornerstone Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,21,Bed Based Capacity,21.0,21.0,21.0,0.0,0.0,,,,,,100.0,
278444,2022-01-01,12,Covenant House Toronto,20,Covenant House,1026.0,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,13371,Covenant House -  Transitional Safe Beds for women,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,1,Bed Based Capacity,2.0,2.0,1.0,1.0,0.0,,,,,,50.0,
278445,2022-01-01,12,Covenant House Toronto,20,Covenant House,1198.0,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,ON,15551,Covenant House - Hotel Program,Youth,Emergency,Motel/Hotel Shelter,COVID-19 Response,42,Room Based Capacity,,,,,,42.0,42.0,42.0,0.0,0.0,,100.0
278446,2022-01-01,12,Covenant House Toronto,20,Covenant House,1026.0,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,11951,Covenant House Residence,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,28,Bed Based Capacity,28.0,53.0,28.0,0.0,25.0,,,,,,100.0,
278447,2022-01-01,12,Covenant House Toronto,20,Covenant House,1027.0,Covenant House McGill St,21 McGill St,M5B 1H3,Toronto,ON,11955,Covenant House Rights of Passage,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,27,Bed Based Capacity,28.0,28.0,27.0,1.0,0.0,,,,,,96.43,
278448,2022-01-01,6,Dixon Hall,80,351 Lakeshore Respite Services,1149.0,Dixon Hall 351 Lake Shore Blvd E Respite,351 Lake Shore Blvd E,M5A 1C1,Toronto,ON,14791,Dixon Hall 351 Lake Shore Blvd E. Respite,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,44,Bed Based Capacity,44.0,44.0,44.0,0.0,0.0,,,,,,100.0,
278449,2022-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1128.0,Dixon Hall 354 George St,354 George St,M5A 2N3,Scarborough,ON,15331,Dixon Hall - 354 George,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,50,Bed Based Capacity,50.0,50.0,50.0,0.0,0.0,,,,,,100.0,
278450,2022-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1176.0,Dixon Hall Bond Place Hotel Program,65 Dundas St E,M5B 2G8,Toronto,ON,16091,Dixon Hall - Bond Place Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,243,Room Based Capacity,,,,,,231.0,245.0,226.0,5.0,14.0,,97.84
278451,2022-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1015.0,Dixon Hall Heyworth House,2714 Danforth Ave,M4C 1L7,Toronto,ON,11892,Dixon Hall - Heyworth House,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,41,Bed Based Capacity,41.0,41.0,41.0,0.0,0.0,,,,,,100.0,
278452,2022-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1167.0,HFS Downtown Hotel Program,60 York St,M5J 1S8,Toronto,ON,15511,Dixon Hall Downtown Hotel - Mixed Adult Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,89,Room Based Capacity,,,,,,90.0,92.0,89.0,1.0,2.0,,98.89
278453,2022-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1177.0,Dixon Hall Downtown Hotel,56 Yonge St,M5E 1G5,Toronto,ON,15891,Dixon Hall Downtown Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,51,Room Based Capacity,,,,,,49.0,52.0,49.0,0.0,3.0,,100.0
278454,2022-01-01,6,Dixon Hall,14,Dixon Hall - Schoolhouse,1020.0,Dixon Hall Schoolhouse,349 George St,M5A 2N2,Toronto,ON,11897,Dixon Hall - Schoolhouse,Men,Emergency,Shelter,Base Shelter and Overnight Services System,22,Bed Based Capacity,22.0,22.0,22.0,0.0,0.0,,,,,,100.0,
278455,2022-01-01,11,Eva's Initiatives,19,Eva's Phoenix,1025.0,Eva's Phoenix,60 Brant St,M5V 3G9,Toronto,ON,11932,Eva's Phoenix,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,42,Bed Based Capacity,50.0,50.0,42.0,8.0,0.0,,,,,,84.0,
278456,2022-01-01,11,Eva's Initiatives,18,Eva's Place,1024.0,Eva's Place,360 Lesmill Rd,M3B 2T5,Toronto,ON,11931,Eva's Place,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,16,Bed Based Capacity,16.0,16.0,16.0,0.0,0.0,,,,,,100.0,
278457,2022-01-01,11,Eva's Initiatives,18,Eva's Place,1198.0,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,ON,16611,Eva's Satellite Downtown Hotel Program.,Youth,Emergency,Motel/Hotel Shelter,COVID-19 Response,37,Room Based Capacity,,,,,,37.0,41.0,37.0,0.0,4.0,,100.0
278458,2022-01-01,25,Fife House Foundation,41,Fife House Transitional Program,1053.0,Fife House Denison Ave,70 Denison Ave,M5T 2M8,Toronto,ON,12252,Fife House Denison Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,4,Bed Based Capacity,5.0,5.0,4.0,1.0,0.0,,,,,,80.0,
278459,2022-01-01,25,Fife House Foundation,41,Fife House Transitional Program,1054.0,Fife House Sherbourne St,490 Sherbourne St,M4X 1K9,Toronto,ON,12253,Fife-Sherbourne Transitional Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,10,Bed Based Capacity,11.0,11.0,10.0,1.0,0.0,,,,,,90.91,
278460,2022-01-01,26,Fred Victor Centre,58,FV Women's Transition to Housing,1099.0,Fred Victor Centre Transition to Housing Dundas St E,386 Dundas St E,M5A 2A5,Toronto,ON,13331,Fred Victor T2H Bedded Program,Women,Transitional,Shelter,Base Shelter and Overnight Services System,33,Bed Based Capacity,37.0,37.0,33.0,4.0,0.0,,,,,,89.19,
278461,2022-01-01,26,Fred Victor Centre,58,FV Women's Transition to Housing,1081.0,Fred Victor Mary Sheffield House,512 Jarvis St,M4Y 2H6,Toronto,ON,13191,Fred Victor Transition to Housing Bedded Program,Women,Transitional,Shelter,Base Shelter and Overnight Services System,24,Bed Based Capacity,24.0,24.0,24.0,0.0,0.0,,,,,,100.0,
278462,2022-01-01,26,Fred Victor Centre,42,Fred Victor Women's Hostel,1007.0,Adelaide Resource Centre for Women,67 Adelaide St E,M5C 1K6,Toronto,ON,16391,Fred Victor The Phoenix Women's 24/7 Drop-In,Women,Emergency,24-Hour Women's Drop-in,Base Shelter and Overnight Services System,40,Bed Based Capacity,44.0,44.0,40.0,4.0,0.0,,,,,,90.91,
278463,2022-01-01,26,Fred Victor Centre,42,Fred Victor Women's Hostel,1193.0,Fred Victor Centre Fatima House,1059 College Street,M6H 1B1,Toronto,ON,12256,Fred Victor Women's Hostel Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,23,Bed Based Capacity,23.0,23.0,23.0,0.0,0.0,,,,,,100.0,
278464,2022-01-01,26,Fred Victor Centre,44,"Fred Victor, BUS",1055.0,Fred Victor Centre Bethlehem United Shelter,1161 Caledonia Rd,M6A 2W9,Toronto,ON,12254,Fred Victor Bethlehem United Program,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,54,Bed Based Capacity,54.0,54.0,54.0,0.0,0.0,,,,,,100.0,
278465,2022-01-01,26,Fred Victor Centre,44,"Fred Victor, BUS",1130.0,Fred Victor Uptown Hotel Program,185 Yorkland Blvd,M2J 4R2,North York,ON,15631,Fred Victor Uptown Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,272,Room Based Capacity,,,,,,263.0,262.0,263.0,0.0,0.0,,100.0
278466,2022-01-01,26,Fred Victor Centre,72,Fred Victor-Better Living Centre,1152.0,Fred Victor Centre 1A Strachan Ave Respite,1A Strachan Ave,M6K 3C3,Toronto,ON,14931,Fred Victor 1A Strachan Ave Respite,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,45,Bed Based Capacity,45.0,45.0,45.0,0.0,0.0,,,,,,100.0,
278467,2022-01-01,39,Friends of Ruby,85,Friends of Ruby,1187.0,Friends of Ruby  ,257 Dundas St E,M5A 1Z8,Toronto,ON,16252,Friends of Ruby - Emergency Housing,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,2,Bed Based Capacity,5.0,5.0,2.0,3.0,0.0,,,,,,40.0,
278468,2022-01-01,39,Friends of Ruby,85,Friends of Ruby,1187.0,Friends of Ruby  ,257 Dundas St E,M5A 1Z8,Toronto,ON,16251,Friends of Ruby - Transitional Housing,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,27,Bed Based Capacity,28.0,28.0,27.0,1.0,0.0,,,,,,96.43,
278469,2022-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1022.0,Good Shepherd Centre,412 Queen St E,M5A 1T3,Toronto,ON,11899,Good Shepherd - D.A.R.E.,Men,Transitional,Shelter,Base Shelter and Overnight Services System,25,Bed Based Capacity,25.0,25.0,25.0,0.0,0.0,,,,,,100.0,
278470,2022-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1022.0,Good Shepherd Centre,412 Queen St E,M5A 1T3,Toronto,ON,11900,Good Shepherd - Emergency/Resettlement,Men,Emergency,Shelter,Base Shelter and Overnight Services System,25,Bed Based Capacity,25.0,25.0,25.0,0.0,0.0,,,,,,100.0,
278471,2022-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1021.0,Good Shepherd Centre Barrett House,35 Sydenham St,M5A 4H5,Toronto,ON,11898,Good Shepherd Barrett House - Men's Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,5,Bed Based Capacity,5.0,5.0,5.0,0.0,0.0,,,,,,100.0,
278472,2022-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1168.0,Good Shepherd Centre West End Hotel Program,335 Jarvis St,M5B 2C2,Toronto,ON,15531,Good Shepherd Centre West End Hotel - Men's Program,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,45,Room Based Capacity,,,,,,45.0,47.0,45.0,0.0,2.0,,100.0
278473,2022-01-01,15,Homes First Society,68,HFS - Kennedy Shelter,1108.0,HFS Kennedy Rd Women's Shelter,702 Kennedy Rd,M1K 2B5,Toronto,ON,13591,Homes First Society- Kennedy Shelter Women's Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,50,Bed Based Capacity,50.0,50.0,50.0,0.0,0.0,,,,,,100.0,
278474,2022-01-01,15,Homes First Society,25,HFS - Savard's Womens' Shelter,1167.0,HFS Downtown Hotel Program,60 York St,M5J 1S8,Toronto,ON,15492,Homes First Society Downtown Hotel - Mixed Adult Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,98,Room Based Capacity,,,,,,90.0,94.0,90.0,0.0,4.0,,100.0
278475,2022-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1150.0,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,Toronto,ON,14831,545 Lake Shore Blvd W. Couples,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,48,Bed Based Capacity,48.0,70.0,48.0,0.0,22.0,,,,,,100.0,
